Application order,Age at enrollment,Unemployment rate,Inflation rate,GDP,Units 1st sem credit,Units 1st sem enroll,Units 1st sem approved,Units 1st sem grade,Units 1st sem eval,Units 1st sem without eval,Target,cluster_label
1,18,15.5,2.8,-4.06,0,7,7,13.044444444444444,9,0,Graduate,0
1,39,12.4,0.5,1.79,0,6,0,0.0,10,0,Dropout,1
1,27,12.4,0.5,1.79,0,6,5,13.0,9,0,Dropout,0
1,18,9.4,-0.8,-3.12,0,8,8,14.935,8,0,Graduate,0
3,18,7.6,2.6,0.32,0,0,0,0.0,0,0,Enrolled,2
2,18,16.2,0.3,-0.92,0,7,6,13.133333333333333,8,0,Graduate,0
1,21,13.9,-0.3,0.79,3,6,6,12.0,7,0,Graduate,0
3,19,10.8,1.4,1.74,0,0,0,0.0,0,0,Enrolled,2
1,19,10.8,1.4,1.74,0,6,5,11.4,6,0,Enrolled,0
1,24,12.7,3.7,-1.7,0,6,0,0.0,6,0,Enrolled,2
1,29,13.9,-0.3,0.79,2,7,5,11.9,10,0,Dropout,0
3,19,10.8,1.4,1.74,0,0,0,0.0,0,0,Graduate,2
1,23,8.9,1.4,3.51,0,6,6,12.571428571428571,8,0,Graduate,0
3,19,16.2,0.3,-0.92,0,5,5,11.2,8,0,Dropout,0
1,26,12.7,3.7,-1.7,0,6,6,12.0,7,0,Enrolled,0
1,18,7.6,2.6,0.32,0,5,0,0.0,9,0,Enrolled,2
1,24,13.9,-0.3,0.79,0,7,7,11.975,8,0,Graduate,0
1,19,15.5,2.8,-4.06,0,0,0,0.0,0,0,Dropout,2
4,18,12.4,0.5,1.79,0,6,3,11.666666666666666,12,0,Dropout,0
2,18,10.8,1.4,1.74,0,6,6,12.333333333333334,8,0,Graduate,0
3,18,10.8,1.4,1.74,0,5,3,10.333333333333334,8,0,Dropout,0
4,21,9.4,-0.8,-3.12,0,6,4,10.5,8,0,Dropout,0
4,19,8.9,1.4,3.51,0,6,6,13.666666666666666,6,0,Graduate,0
4,22,16.2,0.3,-0.92,0,7,7,14.842857142857142,7,0,Graduate,0
1,33,10.8,1.4,1.74,0,6,6,12.0,8,0,Graduate,1
6,20,10.8,1.4,1.74,0,6,5,12.2,8,0,Dropout,0
1,35,10.8,1.4,1.74,0,1,0,0.0,1,1,Dropout,2
1,24,12.4,0.5,1.79,6,12,6,12.166666666666666,17,0,Dropout,3
1,18,12.7,3.7,-1.7,0,5,5,12.0,6,0,Enrolled,0
1,33,9.4,-0.8,-3.12,0,6,6,11.0,7,0,Graduate,1
1,22,10.8,1.4,1.74,0,8,7,13.08,8,0,Graduate,0
1,25,9.4,-0.8,-3.12,0,5,4,10.5,7,0,Graduate,0
1,20,7.6,2.6,0.32,0,6,6,10.666666666666666,9,1,Graduate,0
6,23,11.1,0.6,2.02,0,5,4,14.0,6,0,Enrolled,0
2,18,15.5,2.8,-4.06,0,5,2,10.0,9,0,Enrolled,0
1,24,13.9,-0.3,0.79,0,7,0,0.0,18,0,Dropout,2
2,21,8.9,1.4,3.51,0,6,6,14.0,6,0,Graduate,0
1,26,8.9,1.4,3.51,0,6,2,12.0,7,1,Dropout,0
1,39,7.6,2.6,0.32,0,6,3,12.666666666666666,12,0,Dropout,1
1,44,12.7,3.7,-1.7,2,8,8,11.875,11,0,Graduate,1
1,19,13.9,-0.3,0.79,0,5,5,14.0,9,0,Enrolled,0
5,18,8.9,1.4,3.51,0,6,6,13.666666666666666,6,0,Graduate,0
5,18,12.4,0.5,1.79,0,7,7,13.75,7,0,Graduate,0
1,19,12.7,3.7,-1.7,0,5,5,14.2,7,2,Enrolled,0
4,19,13.9,-0.3,0.79,0,7,4,11.96,10,0,Dropout,0
1,21,8.9,1.4,3.51,7,10,8,12.875,12,0,Dropout,0
4,20,16.2,0.3,-0.92,0,0,0,0.0,0,0,Graduate,2
1,36,9.4,-0.8,-3.12,0,6,0,0.0,0,0,Dropout,2
1,43,15.5,2.8,-4.06,13,18,18,14.63157894736842,19,0,Graduate,3
1,19,11.1,0.6,2.02,0,6,0,0.0,0,0,Dropout,2
1,20,11.1,0.6,2.02,4,10,10,13.0,12,0,Graduate,0
2,19,16.2,0.3,-0.92,0,6,0,0.0,0,0,Dropout,2
1,20,15.5,2.8,-4.06,0,6,4,14.2,15,0,Dropout,0
5,20,12.4,0.5,1.79,2,7,6,13.266666666666666,9,0,Dropout,0
2,20,16.2,0.3,-0.92,0,7,6,11.666666666666666,12,0,Enrolled,0
1,18,13.9,-0.3,0.79,0,6,6,13.857142857142858,8,0,Graduate,0
2,18,8.9,1.4,3.51,0,5,3,13.0,9,0,Enrolled,0
1,19,10.8,1.4,1.74,0,5,5,13.4,6,0,Graduate,0
3,18,10.8,1.4,1.74,0,6,6,12.666666666666666,6,0,Graduate,0
2,18,7.6,2.6,0.32,0,7,6,12.516666666666666,7,1,Dropout,0
1,20,13.9,-0.3,0.79,0,7,6,11.616666666666667,11,0,Enrolled,0
1,20,7.6,2.6,0.32,0,6,2,10.0,13,0,Enrolled,0
1,20,12.4,0.5,1.79,0,5,3,10.333333333333334,11,0,Enrolled,0
2,18,9.4,-0.8,-3.12,0,5,5,13.142857142857142,12,2,Graduate,0
1,18,11.1,0.6,2.02,0,5,5,12.6,5,0,Graduate,0
1,21,9.4,-0.8,-3.12,0,6,3,11.0,12,0,Dropout,0
2,19,16.2,0.3,-0.92,0,5,5,10.8,8,0,Graduate,0
1,19,10.8,1.4,1.74,0,0,0,0.0,0,0,Dropout,2
1,19,9.4,-0.8,-3.12,0,5,5,12.8,5,0,Graduate,0
1,19,15.5,2.8,-4.06,0,6,6,14.166666666666666,15,0,Graduate,0
6,19,13.9,-0.3,0.79,0,7,5,12.1,12,0,Dropout,0
1,20,12.4,0.5,1.79,1,6,6,14.166666666666666,7,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,6,5,12.8,8,0,Enrolled,0
3,18,12.4,0.5,1.79,0,6,6,13.0,7,0,Graduate,0
6,19,12.4,0.5,1.79,0,7,7,13.467142857142855,7,0,Graduate,0
3,18,13.9,-0.3,0.79,0,7,7,13.2375,9,0,Dropout,0
2,18,7.6,2.6,0.32,0,6,6,12.333333333333334,6,0,Graduate,0
4,19,8.9,1.4,3.51,0,5,5,12.4,7,0,Graduate,0
6,19,13.9,-0.3,0.79,0,7,5,14.0,8,0,Dropout,0
1,20,7.6,2.6,0.32,5,9,9,11.666666666666666,15,0,Graduate,3
1,19,12.4,0.5,1.79,0,6,5,12.0,7,0,Dropout,0
1,20,7.6,2.6,0.32,0,5,4,12.2,7,0,Graduate,0
1,18,8.9,1.4,3.51,0,6,6,14.833333333333334,6,0,Graduate,0
2,20,11.1,0.6,2.02,0,7,5,13.188,9,0,Enrolled,0
1,18,13.9,-0.3,0.79,0,7,7,17.125,8,0,Graduate,0
5,19,7.6,2.6,0.32,0,7,6,12.666666666666666,7,0,Graduate,0
6,19,12.4,0.5,1.79,0,6,6,12.666666666666666,8,0,Graduate,0
1,22,8.9,1.4,3.51,0,5,0,0.0,8,0,Enrolled,2
3,19,12.4,0.5,1.79,0,6,6,11.333333333333334,7,0,Graduate,0
3,19,15.5,2.8,-4.06,0,7,7,13.605,10,0,Graduate,0
5,19,9.4,-0.8,-3.12,0,6,5,12.0,10,0,Graduate,0
4,19,7.6,2.6,0.32,0,5,0,0.0,10,0,Dropout,2
1,20,7.6,2.6,0.32,0,6,5,11.2,8,0,Dropout,0
1,18,13.9,-0.3,0.79,0,5,5,13.375,10,0,Graduate,0
1,20,11.1,0.6,2.02,0,7,6,13.863333333333337,8,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,0,0,0.0,0,0,Enrolled,2
1,19,7.6,2.6,0.32,0,5,5,12.4,6,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,6,3,12.333333333333334,11,0,Enrolled,0
1,18,7.6,2.6,0.32,0,6,6,13.333333333333334,7,0,Graduate,0
1,21,9.4,-0.8,-3.12,0,6,3,12.666666666666666,10,0,Dropout,0
1,19,7.6,2.6,0.32,0,6,6,12.0,8,0,Dropout,0
1,18,12.4,0.5,1.79,0,5,5,10.6,5,0,Graduate,0
2,18,12.7,3.7,-1.7,0,6,6,12.25,8,0,Graduate,0
3,20,9.4,-0.8,-3.12,0,6,4,11.0,10,0,Graduate,0
1,24,11.1,0.6,2.02,0,6,5,11.0,11,0,Graduate,0
1,19,10.8,1.4,1.74,0,6,6,13.166666666666666,6,0,Dropout,0
1,18,15.5,2.8,-4.06,0,7,7,12.855555555555554,9,0,Graduate,0
2,18,15.5,2.8,-4.06,0,7,7,14.91875,8,0,Graduate,0
5,21,10.8,1.4,1.74,0,6,4,11.5,13,0,Dropout,0
2,19,7.6,2.6,0.32,0,5,5,14.2,5,0,Graduate,0
1,19,15.5,2.8,-4.06,0,6,6,12.5,6,0,Graduate,0
1,47,8.9,1.4,3.51,0,1,0,0.0,1,0,Enrolled,1
3,19,13.9,-0.3,0.79,0,6,5,11.666666666666666,10,0,Graduate,0
1,29,12.7,3.7,-1.7,1,8,7,14.257142857142856,8,0,Graduate,0
1,21,16.2,0.3,-0.92,0,6,3,12.0,13,0,Dropout,0
1,28,12.7,3.7,-1.7,0,5,4,11.25,13,1,Enrolled,0
2,20,15.5,2.8,-4.06,0,7,7,12.457142857142856,8,0,Graduate,0
1,19,7.6,2.6,0.32,0,7,6,11.683333333333332,7,0,Graduate,0
1,26,9.4,-0.8,-3.12,0,6,3,11.666666666666666,10,0,Graduate,0
2,20,11.1,0.6,2.02,0,6,4,11.75,8,0,Dropout,0
1,18,7.6,2.6,0.32,0,5,3,11.666666666666666,6,0,Enrolled,0
1,27,7.6,2.6,0.32,0,6,5,13.2,9,0,Graduate,0
2,20,7.6,2.6,0.32,0,7,4,11.95,8,0,Dropout,0
5,18,9.4,-0.8,-3.12,0,6,5,12.4,8,0,Dropout,0
1,33,16.2,0.3,-0.92,2,7,6,14.35,8,0,Dropout,1
1,35,12.4,0.5,1.79,19,21,21,12.61904761904762,21,0,Graduate,3
1,26,9.4,-0.8,-3.12,2,6,6,12.666666666666666,7,0,Enrolled,0
1,27,11.1,0.6,2.02,0,6,5,12.0,6,0,Dropout,0
3,19,15.5,2.8,-4.06,0,6,6,12.166666666666666,6,0,Dropout,0
2,20,11.1,0.6,2.02,0,6,0,0.0,0,0,Dropout,2
2,20,10.8,1.4,1.74,0,5,3,10.0,9,0,Dropout,0
1,21,9.4,-0.8,-3.12,5,10,8,11.5,18,0,Enrolled,3
3,18,7.6,2.6,0.32,0,7,6,13.05,7,0,Graduate,0
1,24,8.9,1.4,3.51,0,6,2,11.0,10,0,Dropout,0
4,20,16.2,0.3,-0.92,0,6,6,11.5,7,0,Graduate,0
1,21,13.9,-0.3,0.79,0,6,6,12.0,7,0,Graduate,0
1,23,9.4,-0.8,-3.12,0,6,2,10.0,13,0,Enrolled,0
1,24,7.6,2.6,0.32,0,5,0,0.0,5,0,Dropout,2
1,21,12.4,0.5,1.79,0,6,0,0.0,0,0,Dropout,2
4,18,12.7,3.7,-1.7,0,8,7,12.242857142857144,8,0,Graduate,0
1,27,8.9,1.4,3.51,0,5,0,0.0,0,0,Dropout,2
6,18,9.4,-0.8,-3.12,0,8,8,12.93375,8,0,Graduate,0
1,35,13.9,-0.3,0.79,0,5,0,0.0,0,0,Dropout,2
1,18,11.1,0.6,2.02,0,7,7,12.571428571428571,9,0,Graduate,0
1,35,11.1,0.6,2.02,0,3,3,11.816666666666668,4,0,Enrolled,1
1,19,10.8,1.4,1.74,0,5,4,13.75,9,0,Graduate,0
4,20,7.6,2.6,0.32,0,6,6,11.166666666666666,8,0,Graduate,0
4,18,10.8,1.4,1.74,0,8,7,12.324285714285711,8,0,Graduate,0
1,21,13.9,-0.3,0.79,3,6,6,12.166666666666666,6,0,Graduate,0
2,18,16.2,0.3,-0.92,0,6,5,11.142857142857142,11,0,Graduate,0
1,18,7.6,2.6,0.32,0,6,4,11.0,9,0,Graduate,0
2,18,12.7,3.7,-1.7,0,8,7,12.914285714285713,8,0,Graduate,0
4,18,16.2,0.3,-0.92,0,6,6,13.833333333333334,6,0,Graduate,0
1,19,13.9,-0.3,0.79,0,6,6,13.857142857142858,8,0,Graduate,0
1,36,16.2,0.3,-0.92,0,6,6,13.714285714285714,7,0,Dropout,1
2,18,12.7,3.7,-1.7,0,8,7,12.642857142857142,8,0,Graduate,0
1,18,7.6,2.6,0.32,0,7,6,12.916666666666666,7,0,Graduate,0
1,20,13.9,-0.3,0.79,0,6,6,15.625,8,0,Graduate,0
1,26,16.2,0.3,-0.92,0,5,0,0.0,7,0,Dropout,2
1,21,7.6,2.6,0.32,0,6,6,11.714285714285714,8,0,Graduate,0
1,25,15.5,2.8,-4.06,0,7,6,12.125,10,0,Enrolled,0
1,19,12.4,0.5,1.79,0,5,5,11.6,7,0,Graduate,0
1,24,9.4,-0.8,-3.12,0,6,1,10.0,11,0,Dropout,0
1,27,8.9,1.4,3.51,0,6,1,10.0,16,0,Dropout,0
1,21,7.6,2.6,0.32,0,5,0,0.0,10,1,Dropout,2
1,18,9.4,-0.8,-3.12,0,5,4,13.0,7,0,Graduate,0
4,19,10.8,1.4,1.74,0,6,6,13.333333333333334,6,0,Graduate,0
3,18,9.4,-0.8,-3.12,0,6,4,11.25,9,0,Dropout,0
1,19,11.1,0.6,2.02,0,7,5,13.85,9,0,Graduate,0
1,19,16.2,0.3,-0.92,0,7,6,13.741666666666667,8,0,Graduate,0
1,33,11.1,0.6,2.02,2,6,6,15.333333333333334,7,0,Graduate,1
1,45,12.4,0.5,1.79,0,5,5,11.0,6,0,Graduate,1
1,20,11.1,0.6,2.02,0,6,6,12.0,6,0,Graduate,0
2,28,7.6,2.6,0.32,0,5,0,0.0,5,0,Dropout,2
1,19,12.7,3.7,-1.7,0,8,7,11.571428571428571,15,0,Graduate,0
2,18,12.7,3.7,-1.7,0,6,6,12.857142857142858,10,0,Graduate,0
1,38,15.5,2.8,-4.06,0,6,0,0.0,0,0,Dropout,1
2,19,9.4,-0.8,-3.12,0,5,5,13.0,5,0,Graduate,0
1,21,15.5,2.8,-4.06,0,6,5,11.0,9,0,Graduate,0
1,21,16.2,0.3,-0.92,0,5,3,12.0,12,0,Dropout,0
1,22,10.8,1.4,1.74,0,6,5,12.6,6,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,6,5,13.4,8,0,Graduate,0
2,18,15.5,2.8,-4.06,0,6,6,11.333333333333334,9,0,Graduate,0
1,25,9.4,-0.8,-3.12,0,5,4,13.5,14,2,Dropout,0
1,24,16.2,0.3,-0.92,2,6,3,11.75,11,0,Dropout,0
3,19,12.4,0.5,1.79,0,7,6,12.471428571428572,10,0,Enrolled,0
1,24,12.4,0.5,1.79,11,17,11,12.909090909090908,19,0,Enrolled,3
2,20,12.4,0.5,1.79,0,5,5,11.6,5,0,Graduate,0
1,25,10.8,1.4,1.74,0,5,0,0.0,5,0,Dropout,2
1,20,8.9,1.4,3.51,5,10,9,12.9,13,0,Graduate,0
1,23,9.4,-0.8,-3.12,0,8,8,13.22,8,0,Graduate,0
3,19,10.8,1.4,1.74,0,8,7,13.151428571428571,8,0,Graduate,0
1,29,13.9,-0.3,0.79,0,6,3,12.75,13,0,Dropout,0
3,21,11.1,0.6,2.02,0,6,6,11.333333333333334,8,0,Graduate,0
1,18,11.1,0.6,2.02,0,6,6,13.25,10,0,Graduate,0
3,19,9.4,-0.8,-3.12,0,6,5,12.4,7,0,Enrolled,0
3,18,8.9,1.4,3.51,0,6,6,15.0,6,0,Dropout,0
1,19,7.6,2.6,0.32,0,5,5,14.4,6,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,6,1,11.0,12,0,Enrolled,0
1,18,8.9,1.4,3.51,0,5,5,12.4,8,0,Graduate,0
1,37,8.9,1.4,3.51,0,7,1,16.0,13,0,Dropout,1
1,29,16.2,0.3,-0.92,0,5,5,13.571428571428571,10,0,Graduate,0
3,18,7.6,2.6,0.32,0,6,6,11.833333333333334,6,0,Enrolled,0
1,19,12.4,0.5,1.79,0,6,5,11.666666666666666,8,0,Graduate,0
1,22,16.2,0.3,-0.92,6,10,6,11.833333333333334,16,0,Dropout,3
1,20,15.5,2.8,-4.06,0,6,6,11.166666666666666,8,0,Graduate,0
1,34,12.7,3.7,-1.7,0,6,0,0.0,0,0,Dropout,2
1,30,7.6,2.6,0.32,8,12,8,11.75,17,0,Dropout,3
1,18,10.8,1.4,1.74,0,6,6,14.0,7,0,Graduate,0
1,18,12.4,0.5,1.79,0,6,6,12.833333333333334,6,0,Graduate,0
2,18,9.4,-0.8,-3.12,0,6,4,12.25,11,0,Graduate,0
4,18,12.7,3.7,-1.7,0,8,7,14.828571428571427,8,0,Graduate,0
2,19,12.7,3.7,-1.7,0,6,5,11.4,7,0,Graduate,0
1,19,10.8,1.4,1.74,0,6,6,13.0,6,0,Graduate,0
5,18,12.7,3.7,-1.7,0,8,7,13.671428571428573,8,0,Graduate,0
1,21,13.9,-0.3,0.79,0,6,6,12.666666666666666,9,0,Graduate,0
2,20,7.6,2.6,0.32,0,5,2,10.0,10,0,Dropout,0
1,20,13.9,-0.3,0.79,0,5,5,13.5,10,0,Graduate,0
1,19,11.1,0.6,2.02,2,7,7,12.67,8,0,Graduate,0
1,20,16.2,0.3,-0.92,0,6,6,14.5,8,0,Graduate,0
3,18,13.9,-0.3,0.79,0,7,7,13.685714285714283,7,0,Graduate,0
1,20,12.7,3.7,-1.7,0,6,5,11.0,8,0,Dropout,0
1,29,7.6,2.6,0.32,7,9,7,11.555555555555555,16,4,Dropout,3
1,18,12.4,0.5,1.79,0,7,7,13.79714285714286,7,0,Enrolled,0
1,20,15.5,2.8,-4.06,0,7,7,14.00375,8,0,Graduate,0
2,22,16.2,0.3,-0.92,0,5,4,12.0,8,0,Graduate,0
1,47,16.2,0.3,-0.92,0,6,5,14.166666666666666,9,0,Graduate,1
1,31,8.9,1.4,3.51,1,5,5,14.0,5,0,Graduate,1
1,21,16.2,0.3,-0.92,0,6,5,13.8,7,0,Graduate,0
1,21,7.6,2.6,0.32,0,6,5,12.8,8,0,Graduate,0
1,24,7.6,2.6,0.32,0,6,6,12.166666666666666,6,0,Graduate,0
1,18,15.5,2.8,-4.06,0,6,6,12.5,8,0,Enrolled,0
1,32,7.6,2.6,0.32,0,6,4,12.0,9,0,Graduate,1
2,19,10.8,1.4,1.74,0,6,6,10.833333333333334,8,0,Graduate,0
1,24,9.4,-0.8,-3.12,0,8,8,13.385,8,0,Graduate,0
4,19,15.5,2.8,-4.06,0,6,6,15.666666666666666,14,0,Graduate,0
1,19,13.9,-0.3,0.79,0,6,6,14.333333333333334,9,0,Graduate,0
1,24,12.4,0.5,1.79,0,6,6,11.428571428571429,10,0,Enrolled,0
4,18,8.9,1.4,3.51,0,6,6,11.666666666666666,9,0,Graduate,0
1,19,8.9,1.4,3.51,0,6,5,12.0,9,0,Dropout,0
1,19,10.8,1.4,1.74,0,8,7,14.725714285714288,8,0,Graduate,0
2,18,12.4,0.5,1.79,0,6,6,14.166666666666666,6,0,Graduate,0
1,18,12.4,0.5,1.79,0,6,6,11.571428571428571,10,0,Graduate,0
4,20,12.4,0.5,1.79,0,7,7,12.5,7,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,8,8,12.86,10,2,Graduate,0
4,18,11.1,0.6,2.02,0,6,6,12.25,10,0,Graduate,0
2,21,10.8,1.4,1.74,0,5,4,12.0,7,0,Graduate,0
1,18,15.5,2.8,-4.06,0,7,7,15.116666666666667,9,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,5,2,12.5,6,0,Dropout,0
2,19,9.4,-0.8,-3.12,0,6,0,0.0,11,0,Dropout,2
1,19,10.8,1.4,1.74,0,6,4,11.0,8,0,Enrolled,0
4,18,11.1,0.6,2.02,0,6,6,11.875,8,0,Graduate,0
1,34,12.7,3.7,-1.7,1,5,1,11.0,6,0,Dropout,1
3,19,7.6,2.6,0.32,0,5,5,15.2,5,0,Graduate,0
1,19,12.4,0.5,1.79,2,6,5,11.6,7,0,Dropout,0
1,26,11.1,0.6,2.02,0,6,6,14.833333333333334,6,0,Graduate,0
1,21,7.6,2.6,0.32,0,6,3,11.333333333333334,12,0,Dropout,0
2,18,11.1,0.6,2.02,0,5,5,11.2,5,0,Graduate,0
4,20,9.4,-0.8,-3.12,0,6,5,13.4,8,0,Graduate,0
1,25,11.1,0.6,2.02,0,5,2,10.5,12,0,Dropout,0
1,18,11.1,0.6,2.02,0,5,5,16.2,5,0,Graduate,0
1,18,16.2,0.3,-0.92,0,7,7,14.542857142857144,7,0,Graduate,0
1,19,11.1,0.6,2.02,0,7,7,13.694285714285714,7,0,Graduate,0
1,18,12.4,0.5,1.79,0,6,6,11.285714285714286,8,0,Graduate,0
1,20,15.5,2.8,-4.06,0,7,6,11.757142857142856,11,0,Enrolled,0
1,26,8.9,1.4,3.51,0,3,0,0.0,3,0,Dropout,2
1,19,10.8,1.4,1.74,0,8,7,13.058571428571428,8,0,Graduate,0
1,19,16.2,0.3,-0.92,0,7,7,14.3,7,0,Graduate,0
4,19,7.6,2.6,0.32,3,10,5,11.8,15,0,Graduate,0
3,19,7.6,2.6,0.32,0,5,3,10.333333333333334,9,1,Enrolled,0
1,18,16.2,0.3,-0.92,0,6,6,10.571428571428571,7,0,Graduate,0
1,19,7.6,2.6,0.32,0,7,6,13.333333333333334,7,0,Graduate,0
1,18,13.9,-0.3,0.79,0,6,6,11.857142857142858,10,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,6,5,12.6,9,0,Enrolled,0
1,18,9.4,-0.8,-3.12,0,5,5,14.0,11,3,Enrolled,0
1,18,11.1,0.6,2.02,0,7,5,12.0,12,0,Enrolled,0
1,26,16.2,0.3,-0.92,0,5,0,0.0,6,0,Dropout,2
1,20,12.4,0.5,1.79,0,6,6,12.0,7,0,Graduate,0
1,19,12.7,3.7,-1.7,0,6,6,12.666666666666666,6,0,Graduate,0
1,18,9.4,-0.8,-3.12,0,6,6,12.166666666666666,6,0,Graduate,0
1,19,13.9,-0.3,0.79,3,6,6,13.333333333333334,6,0,Graduate,0
1,40,12.4,0.5,1.79,0,7,7,15.0,8,0,Graduate,1
4,18,9.4,-0.8,-3.12,0,8,8,13.39125,8,0,Graduate,0
1,19,13.9,-0.3,0.79,0,6,5,12.166666666666666,9,0,Graduate,0
1,18,7.6,2.6,0.32,0,5,4,11.25,9,0,Graduate,0
1,19,9.4,-0.8,-3.12,0,5,4,12.0,13,2,Enrolled,0
1,18,15.5,2.8,-4.06,0,0,0,0.0,0,0,Dropout,2
1,33,12.4,0.5,1.79,0,6,6,12.833333333333334,7,0,Graduate,1
1,35,16.2,0.3,-0.92,0,6,6,14.0,10,0,Graduate,1
1,26,9.4,-0.8,-3.12,3,5,4,13.0,5,0,Enrolled,0
1,18,9.4,-0.8,-3.12,0,6,6,13.5,7,0,Graduate,0
1,36,15.5,2.8,-4.06,10,16,13,10.692307692307692,24,1,Enrolled,3
1,39,10.8,1.4,1.74,0,5,5,11.0,6,0,Graduate,1
1,44,12.7,3.7,-1.7,0,6,6,13.0,8,0,Graduate,1
2,20,9.4,-0.8,-3.12,0,6,5,12.0,10,0,Enrolled,0
1,24,12.7,3.7,-1.7,0,6,4,12.6,9,0,Dropout,0
